team,opp,home,n.loc
Clemson,Alabama,0,0
Georgia,Oklahoma,0,0
Arizona,Purdue,0,0
Virginia,Navy,0,0
Stanford,TCU,0,0
Kentucky,Northwestern,0,0
Troy,NorthTexas,0,0
GeorgiaSt,WKU,0,0
BoiseSt,Oregon,0,0
Marshall,ColoradoSt,0,0
MTSU,ArkansasSt,0,0
Akron,FLAtlantic,0,0
SMU,LouisianaTech,0,0
Temple,FloridaIntl,0,0
UAB,Ohio,0,0
CMichigan,Wyoming,0,0
TexasTech,SouthFlorida,0,0
SanDiegoSt,Army,0,0
Toledo,AppalachianSt,0,0
Houston,FresnoSt,0,0
Utah,WestVirginia,0,0
Duke,NIllinois,0,0
KansasSt,UCLA,0,0
FloridaSt,SouthernMiss,0,0
Iowa,BostonCollege,0,0
MichiganSt,WashingtonSt,0,0
Texas,Missouri,0,0
OklahomaSt,VirginiaTech,0,0
WakeForest,TexasAM,0,0
NCState,ArizonaSt,0,0
UtahSt,NewMexicoSt,0,0
USC,OhioSt,0,0
Louisville,MississippiSt,0,0
IowaSt,Memphis,0,0
PennSt,Washington,0,0
MiamiFL,Wisconsin,0,0
Michigan,SouthCarolina,0,0
Auburn,UCF,0,0
NotreDame,LSU,0,0
Clemson,Georgia,0,0
Clemson,Oklahoma,0,0
Alabama,Georgia,0,0
Alabama,Oklahoma,0,0
